BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender
Calvin Klein Jeans,Men Striped Cotton T-shirt,Rs. 5599,Rs. 3919,4.2,5,Tshirt,Men
Calvin Klein Jeans,Men Solid Cotton Polo T-shirt,Rs. 4999,Rs. 2649,0,0,Tshirt,Men
Levis,Solid Lounge T-shirt,Rs. 649,Rs. 369,4.3,3.4k,Tshirt,Men
Campus Sutra,Men Self Design Cotton T-shirt,Rs. 1699,Rs. 645,4.4,498,Tshirt,Men
Calvin Klein Jeans,Men Striped Polo Collar T-shirt,Rs. 5599,Rs. 3919,0,0,Tshirt,Men
Levis,Solid Lounge T-shirt,Rs. 649,Rs. 369,4.4,3.4k,Tshirt,Men
Levis,Solid Lounge T-shirt,Rs. 649,Rs. 369,4.4,1.5k,Tshirt,Men
U.S. Polo Assn.,Pure Cotton Slim Fit T-shirt,Rs. 1499,Rs. 974,4.5,146,Tshirt,Men
Campus Sutra,Men Solid Cotton Polo T-shirt,Rs. 1699,Rs. 645,4,167,Tshirt,Men
U.S. Polo Assn.,Men Comfort-Fit Lounge T-Shirt,Rs. 799,Rs. 559,4.4,644,Tshirt,Men
ADIDAS,Arsenal 24/25 Away Jersey,Rs. 5999,Rs. 3239,4.6,98,Tshirt,Men
FTX,Men Solid Black T-shirt,Rs. 330,Rs. 99,0,0,Tshirt,Men
Campus Sutra,Men Self Design Cotton T-shirt,Rs. 1699,Rs. 645,4.4,146,Tshirt,Men
HRX by Hrithik Roshan,Slim Rapid Dry Raglan T-shirt,Rs. 899,Rs. 305,4.3,16.1k,Tshirt,Men
Puma,Drycell Sports T-shirt,Rs. 999,Rs. 499,4.5,46,Tshirt,Men
HIGHLANDER,Unisex Oversized Tshirt,Rs. 1249,Rs. 449,4,23,Tshirt,Men
Louis Philippe Jeans,Men Pure Cotton T-shirt,Rs. 1999,Rs. 1379,4.4,389,Tshirt,Men
Kook N Keech,Men Polo Collar T-shirt,Rs. 1999,Rs. 199,4,124,Tshirt,Men
Pepe Jeans,Crew Neck Lounge Tshirt,Rs. 799,Rs. 479,4.5,13,Tshirt,Men
Tommy Hilfiger,Polo Collar Cotton T-shirt,Rs. 3599,Rs. 2699,0,0,Tshirt,Men
U.S. Polo Assn.,Printed Lounge T-shirt,Rs. 899,Rs. 719,4.3,476,Tshirt,Men
glitchez,Relaxed Fit T-shirt,Rs. 1199,Rs. 299,4.8,5,Tshirt,Men
Allen Solly,Relaxed Pure Cotton T-shirt,Rs. 1599,Rs. 847,4.6,57,Tshirt,Men
DAMENSCH,Pure Cotton Lounge T-shirt,Rs. 799,Rs. 647,4.5,422,Tshirt,Men
FTX,Men Self Design T-shirt,Rs. 330,Rs. 99,0,0,Tshirt,Men
Nautica,Pure Cotton Brand Logo T-shirt,Rs. 999,Rs. 419,4.6,56,Tshirt,Men
U.S. Polo Assn.,MEN PURE COTTON T-SHIRT,Rs. 799,Rs. 519,4.4,388,Tshirt,Men
Jack & Jones,Men Solid Lounge T-shirt,Rs. 699,Rs. 384,4.1,135,Tshirt,Men
Louis Philippe Jeans,Polo Collar Slim Fit T-shirt,Rs. 1499,Rs. 1124,4.3,825,Tshirt,Men
Levis,Solid V-Neck Lounge T-shirt,Rs. 649,Rs. 421,4.4,1.7k,Tshirt,Men
Genzy,Men Self Design Polo T-shirt,Rs. 2499,Rs. 499,3,1.1k,Tshirt,Men
U.S. Polo Assn.,Pure Cotton Slim Fit T-shirt,Rs. 1899,Rs. 1139,4.2,49,Tshirt,Men
Maniac,Striped Round Neck T-shirt,Rs. 1569,Rs. 486,4.2,3k,Tshirt,Men
HRX by Hrithik Roshan,Training Rapid-Dry Tshirts,Rs. 899,Rs. 323,4.2,4.2k,Tshirt,Men
Louis Philippe Jeans,Pure Cotton Slim Fit T-shirt,Rs. 1999,Rs. 1379,4.4,312,Tshirt,Men
Pepe Jeans,Men Lounge T-Shirt,Rs. 799,Rs. 543,0,0,Tshirt,Men
NOBERO,Oversized Printed T-shirt,Rs. 1799,Rs. 479,4.4,4.2k,Tshirt,Men
Louis Philippe Jeans,Polo Collar Slim Fit T-shirt,Rs. 1499,Rs. 824,4.4,935,Tshirt,Men
Jack & Jones,Round Neck Lounge T-shirt,Rs. 699,Rs. 384,3.7,38,Tshirt,Men
DAMENSCH,Statement Waffle Tank Tops,Rs. 799,Rs. 751,4.5,201,Tshirt,Men
U.S. Polo Assn.,Pure Cotton Slim Fit T-shirt,Rs. 1499,Rs. 974,4.2,140,Tshirt,Men
BROWN BROTHERS,Unisex Cotton Pockets T-shirt,Rs. 1299,Rs. 469,4.1,12,Tshirt,Men
Levis,Solid Round Lounge T-shirt,Rs. 649,Rs. 369,4.3,1.6k,Tshirt,Men
Louis Philippe Sport,Cotton Slim Fit T-shirt,Rs. 1599,Rs. 943,4.6,488,Tshirt,Men
Levis,Solid Lounge T-shirt,Rs. 649,Rs. 395,4.3,1.7k,Tshirt,Men
DILLINGER,Men Solid Regular Fit T-shirt,Rs. 999,Rs. 329,4.4,574,Tshirt,Men
U.S. Polo Assn.,Pure Cotton Slim Fit T-shirt,Rs. 1899,Rs. 1139,4.5,42,Tshirt,Men
NOBERO,Men Printed T-shirt,Rs. 1799,Rs. 499,4.4,1.2k,Tshirt,Men
Puma,Men Pure Cotton T-Shirt,Rs. 999,Rs. 549,4.1,286,Tshirt,Men
U.S. Polo Assn.,Pure Cotton Slim Fit T-shirt,Rs. 1499,Rs. 899,4.3,206,Tshirt,Men
