,BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender,UserSatisfactionLevel
62,LITTLE GINNIE,Kids Giraffe Soft Toys & Dolls, 999, 555,4.6,11,Toys,Kids,Excellent
63,Speedo,Unisex Flat Silicone Swim Cap,0,0,4.3,0,Toys,Kids,Great Product
64,MiArcus,Kids Bella Soft Toy, 2499, 1455,4.7,45,Toys,Kids,Excellent
65,AN TEDDY,Teddy Bears Soft Toys & Dolls, 1499, 1049,4.3,0,Toys,Kids,Great Product
66,Speedo,Unisex Silicon Moulded Cap,0,0,4.5,25,Toys,Kids,Great Product
67,MiArcus,Kids Mino Cloud Soft Toy, 499, 429,4.8,27,Toys,Kids,Excellent
68,MiArcus,Kids Solid Mia Soft Toy, 999, 449,4.3,10,Toys,Kids,Great Product
69,Speedo,Unisex Printed Swim Cap,0,0,4.3,0,Toys,Kids,Great Product
70,Pluchi,Kids Bunny Cotton Soft Toy, 599, 587,4.6,46,Toys,Kids,Excellent
71,MiArcus,Infants Pink Sophie Soft Toy, 599, 534,4.4,144,Toys,Kids,Great Product
72,URBAN TERRAIN,Bolt Ultra Mountain Bicycle, 25000, 8500,2.5,8,Toys,Kids,Below Average
73,DearJoy,Unisex Kids Elephant Pillow, 1000, 649,4.7,176,Toys,Kids,Excellent
74,DearJoy,Soft Toy Soft Toys and Dolls, 1000, 399,4.3,0,Toys,Kids,Great Product
75,Speedo,Unisex Flat Silicone Swim Cap,0,0,4.4,7,Toys,Kids,Great Product
76,DukieKooky,Kids Penguin Soft Toy, 499, 399,4.7,38,Toys,Kids,Excellent
77,MiArcus,Kids Peanuts Snoopy Soft Toy, 699, 300,4.4,47,Toys,Kids,Great Product
78,Speedo,Bubble Active Swimming Cap,0,0,4.5,25,Toys,Kids,Great Product
79,MiArcus,Kids Zophie Soft Toy, 599, 534,4.6,21,Toys,Kids,Excellent
80,TOMKOT,Labubu Monster Keychain, 2000, 900,4.2,6,Toys,Kids,Great Product
81,Speedo,Slogan Print Cap,0,0,4.3,0,Toys,Kids,Great Product
82,AN TEDDY,Polyfill Core Soft Toy, 2499, 1374,4.1,8,Toys,Kids,Great Product
83,DearJoy,Rabbit In Strawberry Soft Toy, 1000, 599,4.5,140,Toys,Kids,Great Product
84,Speedo,Unisex Printed Swim Cap,0,0,5.0,9,Toys,Kids,Excellent
85,DearJoy,Kids Elephant & Monkey Soft Toy, 1000, 549,4.4,352,Toys,Kids,Great Product
86,DukieKooky,Kids Cow Soft Toys, 799, 447,4.5,26,Toys,Kids,Great Product
87,URBAN TERRAIN,Bolt Pro Mountain Bicycle, 20000, 6400,4.3,0,Toys,Kids,Great Product
88,DearJoy,Kids Animal Elephant Soft Toy, 1000, 649,4.4,18,Toys,Kids,Great Product
89,Teddy Daddy,Toy Soft Toys and Dolls,0,0,4.3,0,Toys,Kids,Great Product
90,Speedo,Women Long Hair Swim Cap,0,0,4.6,15,Toys,Kids,Excellent
91,DearJoy,Elephant Shaped Baby Pillow, 1000, 649,4.3,48,Toys,Kids,Great Product
92,MiArcus,Kids Stampy Soft Toy, 799, 668,4.5,165,Toys,Kids,Great Product
93,URBAN TERRAIN,Bolt Ultra Mountain Bicycle, 25000, 10000,4.3,0,Toys,Kids,Great Product
94,DukieKooky,Kids Soft Doll, 1699, 747,4.5,145,Toys,Kids,Great Product
95,AN TEDDY,Teddy Bear Soft Toy, 2499, 1374,3.0,5,Toys,Kids,Below Average
96,URBAN TERRAIN,Bolt Pro Mountain Bike, 20000, 6400,4.3,0,Toys,Kids,Great Product
97,LITTLE GINNIE,Kids Peas In The Pods Soft Toy, 1600, 499,4.3,0,Toys,Kids,Great Product
98,Xivir,Microfibre Filled Non-Allergic Soft Toy Soft Toys and Dolls, 1299, 519,3.7,35,Toys,Kids,Good Choice
99,CULT,Gym Gloves Camo L,0,0,4.6,44,Toys,Kids,Excellent
100,Tommy Hilfiger,Boys Colourblocked Polo Collar T-shirt, 2399, 1439,4.3,0,Tshirt,Kids,Great Product
101,RARE ONES,Boys Varsity Printed Pockets T-shirt, 1299, 1039,4.9,76,Tshirt,Kids,Excellent
102,Googo Gaaga,Boys Printed T-shirt, 1400, 349,4.3,1000,Tshirt,Kids,Great Product
103,Googo Gaaga,Kids Pack of 3 Printed T-shirt, 1400, 499,3.6,12,Tshirt,Kids,Good Choice
104,Tommy Hilfiger,Boys Printed Cotton T-shirt, 2399, 1439,5.0,6,Tshirt,Kids,Excellent
105,Nap Chief,Kids Printed Cotton T-shirt, 790, 647,4.7,53,Tshirt,Kids,Excellent
106,DAMN GUD DG,Unisex Black Tshirts, 1000, 499,4.3,0,Tshirt,Kids,Great Product
107,RARE ONES,Boys Solid T-shirt, 999, 799,4.3,0,Tshirt,Kids,Great Product
108,DAMN GUD DG,Cotton Tshirts, 1000, 499,2.9,7,Tshirt,Kids,Below Average
109,Googo Gaaga,Kids Pack of 3 Printed T-shirt, 1400, 499,4.0,23,Tshirt,Kids,Good Choice
110,RARE ONES,Boys Printed T-shirt, 999, 699,4.3,18,Tshirt,Kids,Great Product
111,H&M,Printed T-shirt,0,0,4.7,225,Tshirt,Kids,Excellent
112,United Colors of Benetton,Boys Solid Polo T-shirt, 999, 529,4.3,215,Tshirt,Kids,Great Product
113,RARE ONES,Boys Printed Oversized T-shirt, 1499, 899,4.8,6,Tshirt,Kids,Excellent
114,Nap Chief,Harry Potter Sequinned T-shirt,0,0,4.6,408,Tshirt,Kids,Excellent
